grating,vp,effect,noiseType
0.2,tb,3.5012626161392078,baseline
0.2,tb,5.6533743853664005,0.58
0.2,tb,4.4630759280623975,1.0
0.2,tb,3.101218399417603,1.73
0.2,tb,4.6410575645984,3.0
0.2,tb,4.884337168075199,5.2
0.2,tb,6.0677657927744,9.0
0.2,e1,2.000752325316803,baseline
0.2,e1,12.876548459913598,0.58
0.2,e1,10.402169303891203,1.0
0.2,e1,3.975108423352,1.73
0.2,e1,3.1746414426496017,3.0
0.2,e1,7.019893980035198,5.2
0.2,e1,7.919907759227199,9.0
0.2,n4,5.111515232172806,baseline
0.2,n4,6.409223853947199,0.58
0.2,n4,5.1941504575663995,1.0
0.2,n4,-3.074555685854399,1.73
0.2,n4,1.3682696266976009,3.0
0.2,n4,6.6747542273456,5.2
0.2,n4,6.2084795031599995,9.0
0.2,e2,3.629180475914403,baseline
0.2,e2,2.1385926757448006,0.58
0.2,e2,1.3520493191743994,1.0
0.2,e2,-2.910534617575201,1.73
0.2,e2,-1.0294864765151999,3.0
0.2,e2,2.5313103329799977,5.2
0.2,e2,3.2767133264184016,9.0
0.2,n3,3.223406354062398,baseline
0.2,n3,2.592272887960801,0.58
0.2,n3,2.718737713366399,1.0
0.2,n3,2.929140018411201,1.73
0.2,n3,5.653330830980799,3.0
0.2,n3,3.5423438019376006,5.2
0.2,n3,3.7908984347080024,9.0
0.2,n1,0.4268527429232023,baseline
0.2,n1,2.8249933933232,0.58
0.2,n1,0.14098367500800252,1.0
0.2,n1,-3.4034713001872006,1.73
0.2,n1,-4.505326229817601,3.0
0.2,n1,-0.8747949479456011,5.2
0.2,n1,2.076227779551199,9.0
0.2,mm,4.299492853849607,baseline
0.2,mm,10.286305244855198,0.58
0.2,mm,9.772645516937601,1.0
0.2,mm,7.865947973734398,1.73
0.2,mm,8.528590322824002,3.0
0.2,mm,7.916502426333599,5.2
0.2,mm,6.265087905067199,9.0
0.2,n7,-0.5068266135415911,baseline
0.2,n7,1.5893159063496043,0.58
0.2,n7,1.18709952218,1.0
0.2,n7,-0.2689950889648003,1.73
0.2,n7,0.0936633386832014,3.0
0.2,n7,0.7302122955775993,5.2
0.2,n7,0.31957517993280293,9.0
0.2,n6,1.9727317171144065,baseline
0.2,n6,4.409682567223998,0.58
0.2,n6,5.849321552896799,1.0
0.2,n6,-10.5454318504128,1.73
