noise,edge,contrasts,ncorrect,ntrials,vp
none,0.048,0.00001,118,240,pooled
none,0.048,0.000758,123,240,pooled
none,0.048,0.001505,147,240,pooled
none,0.048,0.002253,194,240,pooled
none,0.048,0.003,223,240,pooled
none,0.048,0.00001,18,40,0
none,0.048,0.000758,16,40,0
none,0.048,0.001505,30,40,0
none,0.048,0.002253,39,40,0
none,0.048,0.003,40,40,0
none,0.048,0.00001,22,40,1
none,0.048,0.000758,19,40,1
none,0.048,0.001505,23,40,1
none,0.048,0.002253,39,40,1
none,0.048,0.003,40,40,1
none,0.048,0.00001,20,40,2
none,0.048,0.000758,20,40,2
none,0.048,0.001505,25,40,2
none,0.048,0.002253,27,40,2
none,0.048,0.003,35,40,2
none,0.048,0.00001,18,40,3
none,0.048,0.000758,25,40,3
none,0.048,0.001505,21,40,3
none,0.048,0.002253,31,40,3
none,0.048,0.003,38,40,3
none,0.048,0.00001,21,40,4
none,0.048,0.000758,19,40,4
none,0.048,0.001505,25,40,4
none,0.048,0.002253,32,40,4
none,0.048,0.003,35,40,4
none,0.048,0.00001,19,40,5
none,0.048,0.000758,24,40,5
none,0.048,0.001505,23,40,5
none,0.048,0.002253,26,40,5
none,0.048,0.003,35,40,5
none,0.15,0.00001,123,240,pooled
none,0.15,0.001008,152,240,pooled
none,0.15,0.002005,205,240,pooled
none,0.15,0.003003,237,240,pooled
none,0.15,0.004,239,240,pooled
none,0.15,0.00001,21,40,0
none,0.15,0.001008,31,40,0
none,0.15,0.002005,38,40,0
none,0.15,0.003003,39,40,0
none,0.15,0.004,40,40,0
none,0.15,0.00001,21,40,1
none,0.15,0.001008,32,40,1
none,0.15,0.002005,39,40,1
none,0.15,0.003003,40,40,1
none,0.15,0.004,40,40,1
none,0.15,0.00001,27,40,2
none,0.15,0.001008,20,40,2
none,0.15,0.002005,33,40,2
none,0.15,0.003003,39,40,2
none,0.15,0.004,39,40,2
none,0.15,0.00001,18,40,3
none,0.15,0.001008,26,40,3
none,0.15,0.002005,35,40,3
none,0.15,0.003003,40,40,3
none,0.15,0.004,40,40,3
none,0.15,0.00001,18,40,4
none,0.15,0.001008,23,40,4
none,0.15,0.002005,29,40,4
none,0.15,0.003003,40,40,4
none,0.15,0.004,40,40,4
none,0.15,0.00001,18,40,5
none,0.15,0.001008,20,40,5
none,0.15,0.002005,31,40,5
none,0.15,0.003003,39,40,5
none,0.15,0.004,40,40,5
none,0.95,0.00001,109,240,pooled
none,0.95,0.001258,125,240,pooled
none,0.95,0.002505,167,240,pooled
none,0.95,0.003753,212,240,pooled
none,0.95,0.005,233,240,pooled
none,0.95,0.00001,14,40,0
none,0.95,0.001258,19,40,0
none,0.95,0.002505,33,40,0
none,0.95,0.003753,39,40,0
none,0.95,0.005,40,40,0
none,0.95,0.00001,17,40,1
none,0.95,0.001258,26,40,1
none,0.95,0.002505,30,40,1
none,0.95,0.003753,39,40,1
none,0.95,0.005,40,40,1
none,0.95,0.00001,20,40,2
none,0.95,0.001258,16,40,2
none,0.95,0.002505,25,40,2
none,0.95,0.003753,34,40,2
none,0.95,0.005,37,40,2
none,0.95,0.00001,18,40,3
none,0.95,0.001258,23,40,3
none,0.95,0.002505,32,40,3
none,0.95,0.003753,39,40,3
none,0.95,0.005,40,40,3
none,0.95,0.00001,21,40,4
none,0.95,0.001258,23,40,4
none,0.95,0.002505,22,40,4
none,0.95,0.003753,27,40,4
none,0.95,0.005,37,40,4
none,0.95,0.00001,19,40,5
none,0.95,0.001258,18,40,5
none,0.95,0.002505,25,40,5
none,0.95,0.003753,34,40,5
none,0.95,0.005,39,40,5
white,0.048,0.00001,116,240,pooled
white,0.048,0.003757,131,240,pooled
white,0.048,0.007505,197,240,pooled
white,0.048,0.011252,237,240,pooled
white,0.048,0.015,238,240,pooled
white,0.048,0.00001,17,40,0
white,0.048,0.003757,23,40,0
white,0.048,0.007505,37,40,0
white,0.048,0.011252,40,40,0
white,0.048,0.015,40,40,0
white,0.048,0.00001,22,40,1
white,0.048,0.003757,19,40,1
white,0.048,0.007505,35,40,1
white,0.048,0.011252,40,40,1
white,0.048,0.015,40,40,1
white,0.048,0.00001,14,40,2
white,0.048,0.003757,23,40,2
white,0.048,0.007505,28,40,2
white,0.048,0.011252,40,40,2
white,0.048,0.015,39,40,2
white,0.048,0.00001,22,40,3
white,0.048,0.003757,23,40,3
white,0.048,0.007505,32,40,3
white,0.048,0.011252,39,40,3
white,0.048,0.015,39,40,3
white,0.048,0.00001,25,40,4
white,0.048,0.003757,22,40,4
white,0.048,0.007505,32,40,4
white,0.048,0.011252,40,40,4
white,0.048,0.015,40,40,4
white,0.048,0.00001,16,40,5
white,0.048,0.003757,21,40,5
white,0.048,0.007505,33,40,5
white,0.048,0.011252,38,40,5
white,0.048,0.015,40,40,5
white,0.15,0.00001,132,240,pooled
white,0.15,0.003133,154,240,pooled
white,0.15,0.006255,202,240,pooled
white,0.15,0.009378,239,240,pooled
white,0.15,0.0125,240,240,pooled
white,0.15,0.00001,27,40,0
white,0.15,0.003133,27,40,0
white,0.15,0.006255,35,40,0
white,0.15,0.009378,40,40,0
white,0.15,0.0125,40,40,0
white,0.15,0.00001,22,40,1
white,0.15,0.003133,28,40,1
white,0.15,0.006255,33,40,1
white,0.15,0.009378,39,40,1
white,0.15,0.0125,40,40,1
white,0.15,0.00001,21,40,2
white,0.15,0.003133,26,40,2
white,0.15,0.006255,31,40,2
white,0.15,0.009378,40,40,2
white,0.15,0.0125,40,40,2
white,0.15,0.00001,21,40,3
white,0.15,0.003133,20,40,3
white,0.15,0.006255,33,40,3
white,0.15,0.009378,40,40,3
white,0.15,0.0125,40,40,3
white,0.15,0.00001,22,40,4
white,0.15,0.003133,27,40,4
